종목코드,종목명,테마명,섹터,산업군,업종명,시장구분,기준일
232140,와이씨,"['HBM(고대역폭메모리)', '반도체 장비']",산업재,자본재,기계·장비,KOSDAQ,20250407
112290,와이씨켐,"['HBM(고대역폭메모리)', '반도체 재료/부품', '유리 기판']",소재,소재,화학,KOSDAQ,20250407
065530,와이어블,"['철도', '통신장비', '5G(5세대 이동통신)']",통신서비스,통신서비스,통신,KOSDAQ,20250407
067900,와이엔텍,"['골프', '폐기물처리']",산업재,상업서비스,일반서비스,KOSDAQ,20250407
007530,와이엠,['자동차부품'],소재,금속및광물,금속,KOSDAQ,20250407
155650,와이엠씨,['OLED(유기 발광 다이오드)'],IT,하드웨어,전기·전자,KOSDAQ,20250407
273640,와이엠텍,"['전기차 화재 방지(배터리 열폭주 등)', '전력저장장치(ESS)', '전기차', '전기차(충전소/충전기)']",IT,하드웨어,전기·전자,KOSDAQ,20250407
251370,와이엠티,"['PCB(FPCB 등)', '아이폰']",소재,소재,화학,KOSDAQ,20250407
066430,와이오엠,,경기소비재,유통,유통,KOSDAQ,20250407
209640,와이제이링크,['PCB(FPCB 등)'],산업재,자본재,기계·장비,KOSDAQ,20250407
096250,와이즈넛,"['지능형로봇/인공지능(AI)', 'AI 챗봇(챗GPT 등)', '2025 상반기 신규상장']",IT,소프트웨어,IT 서비스,KOSDAQ,20250407
273060,와이즈버즈,['광고'],산업재,상업서비스,일반서비스,KOSDAQ,20250407
019210,와이지-원,['공작기계'],소재,금속및광물,금속,KOSDAQ,20250407
122870,와이지엔터테인먼트,"['엔터테인먼트', '음원/음반']",경기소비재,미디어,오락·문화,KOSDAQ,20250407
332570,와이팜,"['스마트폰', '5G(5세대 이동통신)', '휴대폰부품', '갤럭시 부품주']",IT,하드웨어,전기·전자,KOSDAQ,20250407
079000,와토스코리아,['수자원(양적/질적 개선)'],소재,소재,화학,KOSDAQ,20250407
403490,우듬지팜,"['음식료업종', '농업']",필수소비재,음식료및담배,음식료·담배,KOSDAQ,20250407
032820,우리기술,"['방위산업/전쟁 및 테러', '철도', '원자력발전소 해체', '원자력발전', '수자원(양적/질적 개선)', '풍력에너지']",IT,하드웨어,전기·전자,KOSDAQ,20250407
041190,우리기술투자,"['창투사', '두나무(Dunamu)', 'STO(토큰증권 발행)', '4차산업 수혜주', '가상화폐(비트코인 등)']",금융,기타금융,금융,KOSDAQ,20250407
115440,우리넷,"['철도', '양자암호/양자컴퓨팅', '통신장비', 'OLED(유기 발광 다이오드)', '5G(5세대 이동통신)']",IT,하드웨어,전기·전자,KOSDAQ,20250407
046970,우리로,"['사물인터넷', '양자암호/양자컴퓨팅', '日 수출 규제(국산화 등)', '통신장비', '5G(5세대 이동통신)']",경기소비재,유통,유통,KOSDAQ,20250407
082850,우리바이오,"['PCB(FPCB 등)', 'LED', '마리화나(대마)']",필수소비재,음식료및담배,음식료·담배,KOSDAQ,20250407
215360,우리산업,"['자동차부품', '수소차(연료전지/부품/충전소 등)', '리비안(RIVIAN)', '전기차']",산업재,자본재,운송장비·부품,KOSDAQ,20250407
072470,우리산업홀딩스,['지주사'],산업재,자본재,운송장비·부품,KOSDAQ,20250407
073560,우리손에프앤지,['아프리카 돼지열병(ASF)'],필수소비재,음식료및담배,음식료·담배,KOSDAQ,20250407
037400,우리엔터프라이즈,['LED'],경기소비재,유통,유통,KOSDAQ,20250407
153490,우리이앤엘,"['건강기능식품', 'LED']",IT,하드웨어,전기·전자,KOSDAQ,20250407
101170,우림피티에스,"['철도', '셰일가스(Shale Gas)', '농업', '풍력에너지', '로봇(산업용/협동로봇 등)']",산업재,자본재,기계·장비,KOSDAQ,20250407
066590,우수AMS,"['UAM(도심항공모빌리티)', '자동차부품', '수소차(연료전지/부품/충전소 등)', '전기차']",산업재,자본재,운송장비·부품,KOSDAQ,20250407
103840,우양,"['마켓컬리(kurly)', '음식료업종']",필수소비재,음식료및담배,음식료·담배,KOSDAQ,20250407
101970,우양에이치씨,['2025 상반기 신규상장'],소재,금속및광물,금속,KOSDAQ,20250407
046940,우원개발,"['건설 중소형', '해저터널(지하화/지하도로 등)', '철도', 'GTX(수도권 광역급행철도)', '4대강 복원']",산업재,자본재,건설,KOSDAQ,20250407
215380,우정바이오,"['메르스 코로나 바이러스', '코로나19(음압병실/음압구급차)']",산업재,상업서비스,일반서비스,KOSDAQ,20250407
065680,우주일렉트로,['휴대폰부품'],IT,하드웨어,전기·전자,KOSDAQ,20250407
018620,우진비앤지,"['사료', '구제역/광우병 수혜', '아프리카 돼지열병(ASF)', '농업', '비료', '메르스 코로나 바이러스', '백신/진단시약/방역(신종플루, AI 등)']",의료,제약및바이오,제약,KOSDAQ,20250407
457550,우진엔텍,['원자력발전'],산업재,상업서비스,일반서비스,KOSDAQ,20250407
396470,워트,"['냉각시스템(액침냉각 등)', 'HBM(고대역폭메모리)', '반도체 장비']",산업재,자본재,기계·장비,KOSDAQ,20250407
307280,원바이오젠,,의료,제약및바이오,제약,KOSDAQ,20250407
032940,원익,"['고령화 사회(노인복지)', '의료기기']",경기소비재,유통,유통,KOSDAQ,20250407
240810,원익IPS,"['반도체 장비', '태양광에너지', 'OLED(유기 발광 다이오드)', '3D 낸드(NAND)']",산업재,자본재,기계·장비,KOSDAQ,20250407
074600,원익QnC,"['코리아 밸류업 지수(Korea Value-up Index)', '반도체 재료/부품', '3D 낸드(NAND)']",소재,건축소재,비금속,KOSDAQ,20250407
104830,원익머트리얼즈,"['수소차(연료전지/부품/충전소 등)', 'OLED(유기 발광 다이오드)', '반도체 재료/부품', '3D 낸드(NAND)']",소재,소재,화학,KOSDAQ,20250407
014190,원익큐브,['폴더블폰'],경기소비재,유통,유통,KOSDAQ,20250407
217820,원익피앤이,"['초전도체', '전력저장장치(ESS)', '2차전지', '폐배터리', '전기차', '2차전지(장비)', '전기차(충전소/충전기)']",산업재,자본재,기계·장비,KOSDAQ,20250407
030530,원익홀딩스,"['지주사', '반도체 장비']",소재,소재,화학,KOSDAQ,20250407
012620,원일특강,['철강 중소형'],소재,금속및광물,금속,KOSDAQ,20250407
382840,원준,"['2차전지', '2차전지(장비)', 'MLCC(적층세라믹콘덴서)', '2차전지(전고체)']",산업재,자본재,기계·장비,KOSDAQ,20250407
336570,원텍,"['미용기기', '의료기기']",의료,의료장비및서비스,의료·정밀기기,KOSDAQ,20250407
376980,원티드랩,['일자리(취업)'],IT,소프트웨어,IT 서비스,KOSDAQ,20250407
008370,원풍,,소재,소재,화학,KOSDAQ,20250407
008290,원풍물산,"['마이크로 LED', '패션/의류']",경기소비재,내구소비재및의류,섬유·의류,KOSDAQ,20250407
