종목코드,종목명,업종명,테마명,기준일,raw테마명
014790,HL D&I,건설,건설/인프라,20250510,건설 중소형
003580,HLB글로벌,유통,소비재/유통,20250510,화장품
204320,HL만도,운송장비·부품,자동차/부품,20250510,자동차 대표주
204320,HL만도,운송장비·부품,자동차/부품,20250510,자동차부품
204320,HL만도,운송장비·부품,전기차/자율주행,20250510,자율주행차
204320,HL만도,운송장비·부품,스마트도시,20250510,스마트카(SMART CAR)
204320,HL만도,운송장비·부품,전기차/자율주행,20250510,리비안(RIVIAN)
204320,HL만도,운송장비·부품,전기차/자율주행,20250510,전기차
060980,HL홀딩스,기타금융,기타 산업,20250510,지주사
060980,HL홀딩스,기타금융,정부정책,20250510,밸류업(24년 기업가치 제고계획 발표)
060980,HL홀딩스,기타금융,자동차/부품,20250510,자동차부품
011200,HMM,운송·창고,정부정책,20250510,밸류업(25년 기업가치 제고계획 발표)
011200,HMM,운송·창고,조선/해운,20250510,해운
011200,HMM,운송·창고,정부정책,20250510,코리아 밸류업 지수(Korea Value-up Index)
035000,HS애드,일반서비스,미디어/SNS,20250510,광고
002460,HS화성,건설,건설/인프라,20250510,건설 중소형
487570,HS효성,기타금융,기타 산업,20250510,지주사
298050,HS효성첨단소재,화학,전기차/자율주행,20250510,수소차(연료전지/부품/충전소 등)
298050,HS효성첨단소재,화학,정부정책,20250510,코리아 밸류업 지수(Korea Value-up Index)
298050,HS효성첨단소재,화학,자동차/부품,20250510,자동차부품
298050,HS효성첨단소재,화학,자동차/부품,20250510,타이어
003560,IHQ,오락·문화,,20250510,
015360,INVENI,일반서비스,기타 산업,20250510,지주사
015360,INVENI,일반서비스,환경/기후,20250510,겨울
015360,INVENI,일반서비스,원자력/에너지,20250510,도시가스
175330,JB금융지주,기타금융,기타 산업,20250510,지주사
175330,JB금융지주,기타금융,정부정책,20250510,밸류업(25년 기업가치 제고계획 발표)
175330,JB금융지주,기타금융,정부정책,20250510,밸류업(24년 기업가치 제고계획 발표)
175330,JB금융지주,기타금융,금융/핀테크,20250510,은행
234080,JW생명과학,제약,바이오/제약,20250510,제약업체
001060,JW중외제약,제약,정부정책,20250510,밸류업(25년 기업가치 제고계획 발표)
001060,JW중외제약,제약,바이오/제약,20250510,제약업체
001060,JW중외제약,제약,정부정책,20250510,코리아 밸류업 지수(Korea Value-up Index)
001060,JW중외제약,제약,의료/건강,20250510,고령화 사회(노인복지)
001060,JW중외제약,제약,환경/기후,20250510,황사/미세먼지
001060,JW중외제약,제약,코로나/백신,20250510,코로나19(진단/치료제/백신 개발 등)
001060,JW중외제약,제약,코로나/백신,20250510,마스크
001060,JW중외제약,제약,코로나/백신,20250510,코로나19(치료제/백신 개발 등)
001067,JW중외제약2우B,제약,,20250510,
001065,JW중외제약우,제약,,20250510,
096760,JW홀딩스,기타금융,기타 산업,20250510,지주사
105560,KB금융,기타금융,기타 산업,20250510,지주사
105560,KB금융,기타금융,금융/핀테크,20250510,인터넷은행
105560,KB금융,기타금융,정부정책,20250510,코리아 밸류업 지수(Korea Value-up Index)
105560,KB금융,기타금융,정부정책,20250510,밸류업(24년 기업가치 제고계획 발표)
105560,KB금융,기타금융,블록체인/가상화폐,20250510,STO(토큰증권 발행)
105560,KB금융,기타금융,금융/핀테크,20250510,카카오뱅크(kakao BANK)
105560,KB금융,기타금융,금융/핀테크,20250510,은행
415640,KB발해인프라,기타금융,,20250510,
432320,KB스타리츠,부동산,원자력/에너지,20250510,리츠(REITs)
002380,KCC,화학,기타 산업,20250510,페인트
002380,KCC,화학,탄소/친환경,20250510,태양광에너지
002380,KCC,화학,기타 산업,20250510,리모델링/인테리어
344820,KCC글라스,비금속,기타 산업,20250510,리모델링/인테리어
009070,KCTC,운송·창고,기타 산업,20250510,종합 물류
009070,KCTC,운송·창고,플랫폼/인터넷,20250510,쿠팡(coupang)
009440,KC그린홀딩스,기타금융,,20250510,
119650,KC코트렐,기계·장비,,20250510,
092220,KEC,전기·전자,전기차/자율주행,20250510,전기차
092220,KEC,전기·전자,반도체,20250510,반도체 재료/부품
003620,KG모빌리티,운송장비·부품,자동차/부품,20250510,자동차 대표주
003620,KG모빌리티,운송장비·부품,전기차/자율주행,20250510,자율주행차
003620,KG모빌리티,운송장비·부품,전기차/자율주행,20250510,전기차
016380,KG스틸,금속,정부정책,20250510,밸류업(25년 기업가치 제고계획 발표)
016380,KG스틸,금속,소재/금속,20250510,철강 주요종목
001390,KG케미칼,화학,정부정책,20250510,밸류업(25년 기업가치 제고계획 발표)
001390,KG케미칼,화학,농업/식량,20250510,비료
001390,KG케미칼,화학,농업/식량,20250510,농업
001390,KG케미칼,화학,탄소/친환경,20250510,수자원(양적/질적 개선)
001390,KG케미칼,화학,기타 산업,20250510,요소수
001390,KG케미칼,화학,2차전지,20250510,2차전지(소재/부품)
001390,KG케미칼,화학,2차전지,20250510,2차전지
033180,KH 필룩스,전기·전자,,20250510,
015590,KIB플러그에너지,기계·장비,,20250510,
001940,KISCO홀딩스,금속,기타 산업,20250510,지주사
025000,KPX케미칼,화학,반도체,20250510,반도체 재료/부품
025000,KPX케미칼,화학,원자력/에너지,20250510,석유화학
092230,KPX홀딩스,화학,기타 산업,20250510,지주사
000040,KR모터스,운송장비·부품,,20250510,
044450,KSS해운,운송·창고,조선/해운,20250510,해운
030200,KT,통신,기타 바이오,20250510,양자암호/양자컴퓨팅
030200,KT,통신,IT/통신,20250510,통신
030200,KT,통신,IT/통신,20250510,모바일콘텐츠(스마트폰/태블릿PC)
030200,KT,통신,블록체인/가상화폐,20250510,블록체인
030200,KT,통신,코로나/백신,20250510,백신여권
030200,KT,통신,금융/핀테크,20250510,핀테크(FinTech)
030200,KT,통신,스마트도시,20250510,UAM(도심항공모빌리티)
030200,KT,통신,IT/통신,20250510,클라우드 컴퓨팅
030200,KT,통신,우주/항공,20250510,드론(Drone)
030200,KT,통신,금융/핀테크,20250510,인터넷은행
030200,KT,통신,정부정책,20250510,코리아 밸류업 지수(Korea Value-up Index)
030200,KT,통신,디지털산업,20250510,스마트홈(홈네트워크)
030200,KT,통신,정부정책,20250510,밸류업(24년 기업가치 제고계획 발표)
030200,KT,통신,IT/통신,20250510,5G(5세대 이동통신)
030200,KT,통신,메타버스,20250510,메타버스(Metaverse)
030200,KT,통신,전기차/자율주행,20250510,자율주행차
030200,KT,통신,디지털산업,20250510,4차산업 수혜주
030200,KT,통신,디지털산업,20250510,RFID(NFC 등)
033780,KT&G,음식료·담배,의료/건강,20250510,건강기능식품
033780,KT&G,음식료·담배,정부정책,20250510,코리아 밸류업 지수(Korea Value-up Index)
033780,KT&G,음식료·담배,정부정책,20250510,밸류업(24년 기업가치 제고계획 발표)
058850,KTcs,IT 서비스,,20250510,
058860,KTis,IT 서비스,,20250510,
093050,LF,섬유·의류,소비재/유통,20250510,패션/의류
003550,LG,기타금융,블록체인/가상화폐,20250510,블록체인
003550,LG,기타금융,기타 산업,20250510,지주사
003550,LG,기타금융,정부정책,20250510,밸류업(24년 기업가치 제고계획 발표)
003550,LG,기타금융,디지털산업,20250510,스마트팩토리(스마트공장)
034220,LG디스플레이,전기·전자,IT/통신,20250510,IT 대표주
034220,LG디스플레이,전기·전자,정부정책,20250510,밸류업(24년 기업가치 제고계획 발표)
034220,LG디스플레이,전기·전자,IT/통신,20250510,아이폰
034220,LG디스플레이,전기·전자,IT/통신,20250510,스마트폰
034220,LG디스플레이,전기·전자,디스플레이,20250510,OLED(유기 발광 다이오드)
034220,LG디스플레이,전기·전자,디스플레이,20250510,플렉서블 디스플레이
034220,LG디스플레이,전기·전자,디스플레이,20250510,폴더블폰
051900,LG생활건강,화학,소비재/유통,20250510,음식료업종
051900,LG생활건강,화학,의료/건강,20250510,건강기능식품
051900,LG생활건강,화학,환경/기후,20250510,여름
051900,LG생활건강,화학,정부정책,20250510,밸류업(24년 기업가치 제고계획 발표)
051900,LG생활건강,화학,소비재/유통,20250510,화장품
051900,LG생활건강,화학,기타 바이오,20250510,마이크로바이옴
051905,LG생활건강우,화학,,20250510,
064400,LG씨엔에스,IT 서비스,기타 산업,20250510,2025 상반기 신규상장
064400,LG씨엔에스,IT 서비스,IT/통신,20250510,클라우드 컴퓨팅
064400,LG씨엔에스,IT 서비스,건축/기계,20250510,SI(시스템통합)
